::1 - - [19/Nov/2024:06:06:21 +0700] "GET /zk-autodelete-back/public/delperson HTTP/1.1" 200 5805
::1 - - [19/Nov/2024:06:07:21 +0700] "-" 408 -
::1 - - [19/Nov/2024:06:14:34 +0700] "OPTIONS /zk-autodelete-back/public/api/admin/dashboard HTTP/1.1" 204 -
::1 - - [19/Nov/2024:06:14:34 +0700] "OPTIONS /zk-autodelete-back/public/api/admin/user HTTP/1.1" 204 -
::1 - - [19/Nov/2024:06:14:35 +0700] "GET /zk-autodelete-back/public/api/admin/user HTTP/1.1" 200 118
::1 - - [19/Nov/2024:06:14:35 +0700] "GET /zk-autodelete-back/public/api/admin/dashboard HTTP/1.1" 200 318
::1 - - [19/Nov/2024:06:14:41 +0700] "OPTIONS /zk-autodelete-back/public/api/admin/dashboard HTTP/1.1" 204 -
::1 - - [19/Nov/2024:06:14:41 +0700] "OPTIONS /zk-autodelete-back/public/api/admin/user HTTP/1.1" 204 -
::1 - - [19/Nov/2024:06:14:42 +0700] "GET /zk-autodelete-back/public/api/admin/user HTTP/1.1" 200 118
::1 - - [19/Nov/2024:06:14:42 +0700] "GET /zk-autodelete-back/public/api/admin/dashboard HTTP/1.1" 200 318
::1 - - [19/Nov/2024:06:14:53 +0700] "OPTIONS /zk-autodelete-back/public/api/admin/sync HTTP/1.1" 204 -
::1 - - [19/Nov/2024:06:14:54 +0700] "GET /zk-autodelete-back/public/api/admin/sync HTTP/1.1" 200 50
::1 - - [19/Nov/2024:06:15:27 +0700] "OPTIONS /zk-autodelete-back/public/api/admin/user HTTP/1.1" 204 -
::1 - - [19/Nov/2024:06:15:27 +0700] "OPTIONS /zk-autodelete-back/public/api/admin/dashboard HTTP/1.1" 204 -
::1 - - [19/Nov/2024:06:15:28 +0700] "GET /zk-autodelete-back/public/api/admin/user HTTP/1.1" 200 118
::1 - - [19/Nov/2024:06:15:28 +0700] "GET /zk-autodelete-back/public/api/admin/dashboard HTTP/1.1" 200 317
::1 - - [19/Nov/2024:06:15:34 +0700] "-" 408 -
